text,label,primary_emotion,secondary_emotion,tone,context_domain,social_setting,latent_goal,cognitive_cue,sensory_detail
"Good morning, Alex! The research deck is waiting with fresh insights and ginger tea.",greeting,warmth,anticipation,uplifting,research_ops,team_sync,invite_collaboration,future_planning,ginger_tea_aroma
"Hey team, welcome back from the field—the desert sensors logged starlight just for you.",greeting,enthusiasm,wonder,encouraging,field_research,debrief_circle,celebrate_return,pattern_linking,starlight_reflection
"Hi there, caretaker! The greenhouse monitors say the orchids perked up when you arrived.",greeting,care,relief,nurturing,horticulture,caretaker_arrival,affirm_presence,empathy,orchid_bloom
"Greetings, operations crew; the night shift left aurora sketches to spark your ideas.",greeting,curiosity,calm,reflective,night_ops,shift_handoff,transfer_context,situational_awareness,aurora_sketch
"Welcome back, innovator; a sunlit studio and blank canvases are set for your brainstorm.",greeting,inspiration,joy,buoyant,design_lab,creative_reset,spark_imagination,divergent_thinking,sunlit_canvas
"Hello explorers, the prototype lab warmed the soldering irons and queued your playlists.",greeting,readiness,focus,energized,prototype_lab,build_session,prime_flow,systems_thinking,warm_solder
"Good evening, storytellers; lanterns flicker around the circle ready for your new tales.",greeting,reverence,belonging,inviting,story_circle,evening_gathering,open_sharing,narrative_imagery,lantern_glow
"Hi again, mentors; the listening lounge has cushions fluffed and low jazz for you.",greeting,serenity,gratitude,soothing,mentorship_lounge,reflection_space,restore_energy,active_listening,soft_jazz
"Thanks for today, team; secure the observatory logs and rest those curious minds.",farewell,appreciation,calm,gentle,astronomy_lab,shift_closure,encourage_rest,responsibility_transfer,observatory_logs
"Good night, archivists—label the starlight reels and let the servers cool.",farewell,gratitude,relief,soothing,archive_center,night_shift,protect_artifacts,protocol_memory,cooling_servers
"Signing off, volunteers; hydrate, stretch, and we'll regroup at dawn for the next wave.",farewell,care,anticipation,motivational,volunteer_hub,team_wrap,prepare_return,body_awareness,dawn_glow
"Take care, medics; the respite pods are warm and the night crew has the ward.",farewell,concern,trust,steady,medical_bay,handover,ensure_wellbeing,risk_management,warm_pods
"Rest well, facilitators; tomorrow's learners already wrote thank-you notes in chalk.",farewell,pride,hope,heartfelt,learning_forum,teacher_circle,sustain_motivation,future_projection,chalk_notes
"Safe travels, pilots; the simulation bay saved your trajectories for morning review.",farewell,respect,confidence,assured,flight_sim,crew_release,maintain_focus,trajectory_memory,saved_paths
"Closing time, makers; power down the laser cutters and tuck the prototypes in foam.",farewell,satisfaction,care,calming,makerspace,closing_ritual,protect_assets,procedural_thinking,laser_afterglow
"Goodbye for now, strategists; sync your notebooks and trust the watchkeepers.",farewell,trust,gratitude,reflective,strategy_war_room,wrap_call,preserve_alignment,knowledge_sync,digital_notebooks
Thank you for guiding the guests so patiently; their departure survey glowed with praise.,thank_you,gratitude,admiration,heartfelt,guest_services,debrief,reinforce_behavior,perspective_taking,glowing_survey
Huge thanks for debugging that sensor array before the storm rolled in.,thank_you,relief,gratitude,energized,engineering,storm_preparation,validate_expertise,diagnostic_reasoning,silent_sensors
Grateful for your empathy on today's hotline; callers said they felt genuinely seen.,thank_you,empathy,respect,soothing,support_center,call_recap,affirm_emotional_skill,affective_tuning,quiet_headset
Appreciate you crafting captions in real time; the streaming community kept cheering.,thank_you,appreciation,joy,celebratory,broadcast_studio,live_event,encourage_inclusion,responsiveness,chat_cheers
Thanks for sharing your field notes; the insights rewired tomorrow's workshop agenda.,thank_you,gratitude,curiosity,reflective,field_research,planning_circle,integrate_learning,pattern_detection,annotated_notebook
We're thankful for your impromptu language lesson; the visiting delegation felt at home.,thank_you,warmth,belonging,welcoming,cultural_exchange,delegation_visit,bridge_cultures,language_mapping,shared_phrases
My deepest thanks for covering the night watch; your logs read like poetry.,thank_you,appreciation,awe,reverent,security_watch,overnight_shift,honor_commitment,vigilant_focus,poetic_logs
